time,id,programID,phase,state
0.00,n1,0,0,GGGggrrrrrGGGggrrrrr
1.00,n1,0,0,GGGggrrrrrGGGggrrrrr
2.00,n1,0,0,GGGggrrrrrGGGggrrrrr
3.00,n1,0,0,GGGggrrrrrGGGggrrrrr
4.00,n1,0,0,GGGggrrrrrGGGggrrrrr
5.00,n1,0,0,GGGggrrrrrGGGggrrrrr
6.00,n1,0,0,GGGggrrrrrGGGggrrrrr
7.00,n1,0,0,GGGggrrrrrGGGggrrrrr
8.00,n1,0,0,GGGggrrrrrGGGggrrrrr
9.00,n1,0,0,GGGggrrrrrGGGggrrrrr
10.00,n1,0,0,GGGggrrrrrGGGggrrrrr
11.00,n1,0,0,GGGggrrrrrGGGggrrrrr
12.00,n1,0,0,GGGggrrrrrGGGggrrrrr
13.00,n1,0,0,GGGggrrrrrGGGggrrrrr
14.00,n1,0,0,GGGggrrrrrGGGggrrrrr
15.00,n1,0,0,GGGggrrrrrGGGggrrrrr
16.00,n1,0,0,GGGggrrrrrGGGggrrrrr
17.00,n1,0,0,GGGggrrrrrGGGggrrrrr
18.00,n1,0,0,GGGggrrrrrGGGggrrrrr
19.00,n1,0,0,GGGggrrrrrGGGggrrrrr
20.00,n1,0,0,GGGggrrrrrGGGggrrrrr
21.00,n1,0,0,GGGggrrrrrGGGggrrrrr
22.00,n1,0,0,GGGggrrrrrGGGggrrrrr
23.00,n1,0,0,GGGggrrrrrGGGggrrrrr
24.00,n1,0,0,GGGggrrrrrGGGggrrrrr
25.00,n1,0,0,GGGggrrrrrGGGggrrrrr
26.00,n1,0,0,GGGggrrrrrGGGggrrrrr
27.00,n1,0,0,GGGggrrrrrGGGggrrrrr
28.00,n1,0,0,GGGggrrrrrGGGggrrrrr
29.00,n1,0,0,GGGggrrrrrGGGggrrrrr
30.00,n1,0,0,GGGggrrrrrGGGggrrrrr
31.00,n1,0,0,GGGggrrrrrGGGggrrrrr
32.00,n1,0,0,GGGggrrrrrGGGggrrrrr
33.00,n1,0,0,GGGggrrrrrGGGggrrrrr
34.00,n1,0,0,GGGggrrrrrGGGggrrrrr
35.00,n1,0,0,GGGggrrrrrGGGggrrrrr
36.00,n1,0,0,GGGggrrrrrGGGggrrrrr
37.00,n1,0,0,GGGggrrrrrGGGggrrrrr
38.00,n1,0,0,GGGggrrrrrGGGggrrrrr
39.00,n1,0,0,GGGggrrrrrGGGggrrrrr
40.00,n1,0,0,GGGggrrrrrGGGggrrrrr
41.00,n1,0,0,GGGggrrrrrGGGggrrrrr
42.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
43.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
44.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
45.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
46.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
