id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
3,3.00,4to1_0,5.10,0.00,0.00,75.00,1to4_0,489.60,16.10,72.00,978.78,0.00,0,0.00,10.56,0,tripinfo_3 routing_3,DEFAULT_VEHTYPE,1.08,
6,6.00,5to1_0,5.10,0.00,0.00,78.00,1to3_0,489.60,14.99,72.00,993.46,0.00,0,0.00,7.65,0,tripinfo_6 routing_6,DEFAULT_VEHTYPE,1.05,
2,3.00,3to1_0,5.10,0.00,1.00,83.00,1to2_0,489.60,14.14,80.00,994.90,1.00,1,0.00,14.07,0,tripinfo_2 routing_2,DEFAULT_VEHTYPE,1.01,
1,1.00,2to1_0,5.10,0.00,0.00,86.00,1to2_0,489.60,13.99,85.00,978.78,3.00,1,0.00,13.65,0,tripinfo_1 routing_1,DEFAULT_VEHTYPE,0.94,
10,12.00,3to1_0,5.10,0.00,2.00,86.00,1to3_1,489.60,15.79,74.00,978.78,2.00,1,0.00,13.58,0,tripinfo_10 routing_10,DEFAULT_VEHTYPE,1.09,
0,0.00,3to1_0,5.10,0.00,0.00,87.00,1to4_0,489.60,14.94,87.00,993.46,9.00,2,0.00,23.24,0,tripinfo_0 routing_0,DEFAULT_VEHTYPE,1.06,
11,11.00,2to1_0,5.10,0.00,0.00,89.00,1to2_1,489.60,15.11,78.00,978.78,0.00,0,0.00,12.70,0,tripinfo_11 routing_11,DEFAULT_VEHTYPE,1.03,
7,7.00,2to1_0,5.10,0.00,0.00,90.00,1to3_0,489.60,12.41,83.00,994.90,0.00,0,0.00,7.26,0,tripinfo_7 routing_7,DEFAULT_VEHTYPE,0.89,
12,15.00,3to1_0,5.10,0.00,3.00,92.00,1to3_0,489.60,15.15,77.00,978.78,0.00,0,0.00,12.74,0,tripinfo_12 routing_12,DEFAULT_VEHTYPE,1.05,
9,9.00,3to1_0,5.10,0.00,0.00,93.00,1to2_0,489.60,12.32,84.00,994.90,0.00,0,0.00,6.09,0,tripinfo_9 routing_9,DEFAULT_VEHTYPE,0.86,
19,24.00,3to1_0,5.10,0.00,5.00,95.00,1to2_1,489.60,17.27,71.00,994.90,0.00,0,0.00,13.63,0,tripinfo_19 routing_19,DEFAULT_VEHTYPE,1.16,
15,15.00,2to1_0,5.10,0.00,0.00,96.00,1to2_0,489.60,12.79,81.00,978.78,0.00,0,0.00,9.53,0,tripinfo_15 routing_15,DEFAULT_VEHTYPE,0.93,
17,21.00,3to1_0,5.10,0.00,4.00,99.00,1to2_0,489.60,13.05,78.00,994.90,0.00,0,0.00,6.88,0,tripinfo_17 routing_17,DEFAULT_VEHTYPE,0.94,
18,18.00,2to1_0,5.10,0.00,0.00,104.00,1to2_0,489.60,13.47,86.00,978.78,3.00,1,0.00,15.52,0,tripinfo_18 routing_18,DEFAULT_VEHTYPE,0.94,
23,23.00,2to1_0,5.10,0.00,0.00,105.00,1to3_0,489.60,13.15,82.00,994.90,0.00,0,0.00,6.98,0,tripinfo_23 routing_23,DEFAULT_VEHTYPE,0.89,
21,27.00,3to1_0,5.10,0.00,6.00,106.00,1to4_0,489.60,14.15,79.00,993.46,0.00,0,0.00,12.44,0,tripinfo_21 routing_21,DEFAULT_VEHTYPE,1.01,
16,18.00,3to1_0,5.10,0.00,2.00,107.00,1to3_0,489.60,11.90,89.00,978.78,3.00,1,0.00,13.97,0,tripinfo_16 routing_16,DEFAULT_VEHTYPE,0.88,
30,39.00,3to1_0,5.10,0.00,9.00,109.00,1to5_0,489.60,17.59,70.00,983.13,0.00,0,0.00,13.09,0,tripinfo_30 routing_30,DEFAULT_VEHTYPE,1.18,
22,29.00,3to1_0,5.10,0.00,7.00,111.00,1to4_0,489.60,14.42,82.00,993.46,0.00,0,0.00,12.29,0,tripinfo_22 routing_22,DEFAULT_VEHTYPE,0.98,
37,45.00,3to1_0,5.10,0.00,8.00,111.00,1to5_0,489.60,17.01,66.00,983.13,0.00,0,0.00,9.73,0,tripinfo_37 routing_37,DEFAULT_VEHTYPE,1.18,
40,40.00,2to1_0,5.10,0.00,0.00,111.00,1to3_0,489.60,15.20,71.00,994.90,0.00,0,0.00,5.85,0,tripinfo_40 routing_40,DEFAULT_VEHTYPE,1.03,
35,35.00,2to1_0,5.10,0.00,0.00,112.00,1to2_0,489.60,14.18,77.00,978.78,0.00,0,0.00,12.18,0,tripinfo_35 routing_35,DEFAULT_VEHTYPE,1.02,
45,46.00,2to1_0,5.10,0.00,1.00,113.00,1to3_0,489.60,16.06,67.00,994.90,0.00,0,0.00,5.91,0,tripinfo_45 routing_45,DEFAULT_VEHTYPE,1.09,
42,43.00,2to1_0,5.10,0.00,1.00,114.00,1to2_1,489.60,16.34,71.00,978.78,0.00,0,0.00,10.46,0,tripinfo_42 routing_42,DEFAULT_VEHTYPE,1.09,
25,32.00,3to1_0,5.10,0.00,7.00,116.00,1to2_0,489.60,12.53,84.00,994.90,0.00,0,0.00,7.58,0,tripinfo_25 routing_25,DEFAULT_VEHTYPE,0.87,
28,36.00,3to1_0,5.10,0.00,8.00,117.00,1to4_0,489.60,16.65,81.00,993.46,5.00,1,0.00,21.09,0,tripinfo_28 routing_28,DEFAULT_VEHTYPE,1.13,
31,42.00,3to1_0,5.10,0.00,11.00,117.00,1to3_0,489.60,17.01,75.00,978.78,4.00,1,0.00,17.17,0,tripinfo_31 routing_31,DEFAULT_VEHTYPE,1.15,
13,13.00,5to1_0,5.10,0.00,0.00,124.00,1to4_0,489.60,16.44,111.00,994.90,40.00,1,0.00,51.78,0,tripinfo_13 routing_13,DEFAULT_VEHTYPE,1.12,
4,6.00,4to1_0,5.10,0.00,2.00,127.00,1to3_0,489.60,15.21,121.00,983.13,45.00,1,0.00,56.67,0,tripinfo_4 routing_4,DEFAULT_VEHTYPE,1.03,
14,14.00,4to1_0,5.10,0.00,0.00,128.00,1to5_0,489.60,14.64,114.00,994.90,35.00,1,0.00,46.93,0,tripinfo_14 routing_14,DEFAULT_VEHTYPE,0.99,
8,9.00,5to1_0,5.10,0.00,1.00,130.00,1to2_0,489.60,13.24,121.00,983.13,38.00,1,0.00,49.82,0,tripinfo_8 routing_8,DEFAULT_VEHTYPE,0.94,
32,32.00,5to1_0,5.10,0.00,0.00,130.00,1to2_1,489.60,14.41,98.00,983.13,19.00,1,0.00,31.46,0,tripinfo_32 routing_32,DEFAULT_VEHTYPE,1.01,
33,35.00,5to1_0,5.10,0.00,2.00,132.00,1to4_1,489.60,16.31,97.00,994.90,20.00,1,0.00,40.08,0,tripinfo_33 routing_33,DEFAULT_VEHTYPE,1.17,
26,27.00,4to1_0,5.10,0.00,1.00,133.00,1to5_0,489.60,13.47,106.00,994.90,20.00,1,0.00,33.33,0,tripinfo_26 routing_26,DEFAULT_VEHTYPE,0.92,
34,38.00,5to1_0,5.10,0.00,4.00,133.00,1to4_0,489.60,14.26,95.00,994.90,13.00,1,0.00,27.73,0,tripinfo_34 routing_34,DEFAULT_VEHTYPE,0.99,
20,20.00,5to1_0,5.10,0.00,0.00,134.00,1to5_1,489.60,14.77,114.00,978.78,32.00,2,0.00,48.09,0,tripinfo_20 routing_20,DEFAULT_VEHTYPE,1.02,
5,9.00,4to1_0,5.10,0.00,4.00,138.00,1to3_0,489.60,11.54,129.00,983.13,37.00,1,0.00,48.32,0,tripinfo_5 routing_5,DEFAULT_VEHTYPE,0.83,
27,30.00,4to1_0,5.10,0.00,3.00,138.00,1to3_1,489.60,13.69,108.00,983.13,21.00,1,0.00,37.62,0,tripinfo_27 routing_27,DEFAULT_VEHTYPE,0.95,
39,47.00,5to1_0,5.10,0.00,8.00,139.00,1to2_0,489.60,13.25,92.00,983.13,5.00,1,0.00,18.24,0,tripinfo_39 routing_39,DEFAULT_VEHTYPE,0.90,
